tile_thickness_mm	sipm_layout	absorber_transverse_mm
4	back-center	200
4	back-center	300
4	back-center	500
8	back-center	500
12	back-center	500
16	back-center	500
20	back-center	500
24	back-center	200
24	back-center	300
24	back-center	500
4	edge-center	200
4	edge-center	300
4	edge-center	500
8	edge-center	500
12	edge-center	500
16	edge-center	500
20	edge-center	500
24	edge-center	200
24	edge-center	300
24	edge-center	500
4	back-four	200
4	back-four	300
4	back-four	500
8	back-four	500
12	back-four	500
16	back-four	500
20	back-four	500
24	back-four	200
24	back-four	300
24	back-four	500
