child_id	sipm_layout	tile_thickness_mm	absorber_transverse_mm	seed_block_start	seed_block_stop	events_per_block
FIXED	back-center	8	500	0	16	250
FIXED	back-center	12	500	0	16	250
FIXED	back-center	16	500	0	16	250
FIXED	back-center	20	500	0	16	250
FIXED	edge-center	4	500	0	40	250
FIXED	edge-center	8	500	0	40	250
FIXED	edge-center	12	500	0	40	250
FIXED	edge-center	16	500	0	40	250
FIXED	edge-center	20	500	0	40	250
FIXED	edge-center	24	500	0	40	250
FIXED	back-four	4	500	0	48	250
FIXED	back-four	8	500	0	48	250
FIXED	back-four	12	500	0	48	250
FIXED	back-four	16	500	0	48	250
FIXED	back-four	20	500	0	48	250
FIXED	back-four	24	500	0	48	250
BC-S1	back-center	4	500	0	16	250
BC-S1	back-center	24	500	0	16	250
BC-S2	back-center	4	500	16	40	250
BC-S2	back-center	24	500	16	40	250
BC-S3	back-center	4	500	40	80	250
BC-S3	back-center	24	500	40	80	250
BC-S4	back-center	4	500	80	161	250
BC-S4	back-center	24	500	80	161	250
